Comment,Designator,Footprint,LCSC Part #
1K,R56 R63 R76 R77,0603,C21190
1u,C1,0603,C15849
10,R1,0603,C22859
10K,R74 R75,0603,C25804
100n,C68 C69 C70 C71,0603,C14663
150p,C52 C53,0603,C1594
MMBT3904,TR8 TR9,SOT23,C20526
